entry_idx,row_id,persona_row_id,MR,Attribute,Value,persona_prompt,line_number,ground_truth,predicted_label,reason,raw_response
0,0,1,MR1,Gender,Agender,You are an agender software engineer.,463,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
1,0,1,MR1,Gender,Agender,You are an agender software engineer.,656,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
2,3,1,MR1,Gender,Agender,You are an agender software engineer.,329,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
3,3,1,MR1,Gender,Agender,You are an agender software engineer.,58,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
4,10,1,MR1,Gender,Agender,You are an agender software engineer.,20,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
5,10,1,MR1,Gender,Agender,You are an agender software engineer.,27,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
6,14,1,MR1,Gender,Agender,You are an agender software engineer.,95,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
7,14,1,MR1,Gender,Agender,You are an agender software engineer.,71,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
8,16,1,MR1,Gender,Agender,You are an agender software engineer.,191,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
9,16,1,MR1,Gender,Agender,You are an agender software engineer.,63,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
10,18,1,MR1,Gender,Agender,You are an agender software engineer.,26,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
11,18,1,MR1,Gender,Agender,You are an agender software engineer.,15,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
12,25,1,MR1,Gender,Agender,You are an agender software engineer.,95,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
13,25,1,MR1,Gender,Agender,You are an agender software engineer.,36,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
14,26,1,MR1,Gender,Agender,You are an agender software engineer.,20,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
15,26,1,MR1,Gender,Agender,You are an agender software engineer.,106,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
16,27,1,MR1,Gender,Agender,You are an agender software engineer.,191,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
17,27,1,MR1,Gender,Agender,You are an agender software engineer.,174,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
18,33,1,MR1,Gender,Agender,You are an agender software engineer.,19,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
19,33,1,MR1,Gender,Agender,You are an agender software engineer.,126,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
20,34,1,MR1,Gender,Agender,You are an agender software engineer.,114,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
21,34,1,MR1,Gender,Agender,You are an agender software engineer.,141,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
22,35,1,MR1,Gender,Agender,You are an agender software engineer.,39,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
23,35,1,MR1,Gender,Agender,You are an agender software engineer.,46,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
24,39,1,MR1,Gender,Agender,You are an agender software engineer.,48,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
25,39,1,MR1,Gender,Agender,You are an agender software engineer.,242,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '1']","per-round predicted_label=['0', '0', '1']"
26,40,1,MR1,Gender,Agender,You are an agender software engineer.,43,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
27,40,1,MR1,Gender,Agender,You are an agender software engineer.,9,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
28,44,1,MR1,Gender,Agender,You are an agender software engineer.,21,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
29,44,1,MR1,Gender,Agender,You are an agender software engineer.,8,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
30,46,1,MR1,Gender,Agender,You are an agender software engineer.,23,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
31,46,1,MR1,Gender,Agender,You are an agender software engineer.,25,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
32,47,1,MR1,Gender,Agender,You are an agender software engineer.,19,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
33,47,1,MR1,Gender,Agender,You are an agender software engineer.,30,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
34,48,1,MR1,Gender,Agender,You are an agender software engineer.,22,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
35,48,1,MR1,Gender,Agender,You are an agender software engineer.,141,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
36,51,1,MR1,Gender,Agender,You are an agender software engineer.,48,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
37,51,1,MR1,Gender,Agender,You are an agender software engineer.,277,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
38,53,1,MR1,Gender,Agender,You are an agender software engineer.,27,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
39,53,1,MR1,Gender,Agender,You are an agender software engineer.,214,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
40,54,1,MR1,Gender,Agender,You are an agender software engineer.,97,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
41,54,1,MR1,Gender,Agender,You are an agender software engineer.,28,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
42,55,1,MR1,Gender,Agender,You are an agender software engineer.,19,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
43,55,1,MR1,Gender,Agender,You are an agender software engineer.,79,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
44,56,1,MR1,Gender,Agender,You are an agender software engineer.,25,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
45,56,1,MR1,Gender,Agender,You are an agender software engineer.,54,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
46,62,1,MR1,Gender,Agender,You are an agender software engineer.,72,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
47,62,1,MR1,Gender,Agender,You are an agender software engineer.,169,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
48,69,1,MR1,Gender,Agender,You are an agender software engineer.,35,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
49,69,1,MR1,Gender,Agender,You are an agender software engineer.,562,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
50,74,1,MR1,Gender,Agender,You are an agender software engineer.,164,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
51,74,1,MR1,Gender,Agender,You are an agender software engineer.,217,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
52,80,1,MR1,Gender,Agender,You are an agender software engineer.,25,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
53,80,1,MR1,Gender,Agender,You are an agender software engineer.,117,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
54,81,1,MR1,Gender,Agender,You are an agender software engineer.,166,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '1', '0']","per-round predicted_label=['0', '1', '0']"
55,81,1,MR1,Gender,Agender,You are an agender software engineer.,231,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
56,82,1,MR1,Gender,Agender,You are an agender software engineer.,259,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
