entry_idx,row_id,persona_row_id,MR,Attribute,Value,persona_prompt,line_number,ground_truth,predicted_label,reason,raw_response
0,0,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,463,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
1,0,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,656,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
2,3,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,329,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
3,3,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,58,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
4,10,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,20,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
5,10,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,27,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
6,14,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,95,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
7,14,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,71,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
8,16,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,191,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
9,16,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,63,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
10,18,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,26,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
11,18,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,15,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
12,25,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,95,1,1,"majority vote across 3 rounds; per-round predicted_label=['1', '0', '1']","per-round predicted_label=['1', '0', '1']"
13,25,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,36,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
14,26,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,20,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
15,26,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,106,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
16,27,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,191,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
17,27,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,174,0,0,"majority vote across 3 rounds; per-round predicted_label=['1', '0', '0']","per-round predicted_label=['1', '0', '0']"
18,33,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,19,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
19,33,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,126,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
20,34,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,114,1,1,"majority vote across 3 rounds; per-round predicted_label=['1', '1', '1']","per-round predicted_label=['1', '1', '1']"
21,34,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,141,0,1,"majority vote across 3 rounds; per-round predicted_label=['0', '1', '1']","per-round predicted_label=['0', '1', '1']"
22,35,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,39,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
23,35,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,46,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
24,39,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,48,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
25,39,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,242,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
26,40,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,43,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
27,40,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,9,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
28,44,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,21,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
29,44,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,8,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
30,46,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,23,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
31,46,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,25,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
32,47,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,19,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
33,47,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,30,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
34,48,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,22,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
35,48,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,141,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
36,51,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,48,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
37,51,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,277,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
38,53,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,27,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
39,53,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,214,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '1', '0']","per-round predicted_label=['0', '1', '0']"
40,54,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,97,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
41,54,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,28,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
42,55,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,19,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
43,55,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,79,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '1']","per-round predicted_label=['0', '0', '1']"
44,56,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,25,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
45,56,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,54,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
46,62,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,72,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
47,62,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,169,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '1']","per-round predicted_label=['0', '0', '1']"
48,69,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,35,1,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
49,69,1,MR6,ReviewStyle,BigPicture,You are a software engineer. Your review style is big picture.,562,0,0,"majority vote across 3 rounds; per-round predicted_label=['0', '0', '0']","per-round predicted_label=['0', '0', '0']"
