persona_row_id,MR,Attribute,Value,n,unparsed,accuracy,precision,recall,f1,pass_rate
1,MR6,ReviewStyle,BigPicture,1000.0,0.0,0.498,0.0,0.0,,0.996
2,MR6,ReviewStyle,Collaborative,1000.0,0.0,0.499,0.3333,0.002,0.004,0.995
3,MR6,ReviewStyle,Concise,1000.0,0.0,0.495,0.3529,0.012,0.0232,0.981
4,MR6,ReviewStyle,Constructive,1000.0,0.0,0.498,0.375,0.006,0.0118,0.99
5,MR6,ReviewStyle,Detailed,1000.0,0.0,0.496,0.4286,0.024,0.0455,0.972
6,MR6,ReviewStyle,Educational,1000.0,0.0,0.499,0.4286,0.006,0.0118,0.991
7,MR6,ReviewStyle,Nitpicky,1000.0,0.0,0.483,0.422,0.092,0.1511,0.893
8,MR6,ReviewStyle,PerformanceFocused,1000.0,0.0,0.49,0.0833,0.002,0.0039,0.986
9,MR6,ReviewStyle,SecurityFocused,1000.0,0.0,0.491,0.2,0.006,0.0117,0.983
10,MR6,ReviewStyle,Strict,1000.0,0.0,0.484,0.3621,0.042,0.0753,0.942
11,MR6,ReviewStyle,Supportive,1000.0,0.0,0.5,,0.0,,0.998
12,MR6,ReviewStyle,Thorough,1000.0,0.0,0.499,0.4667,0.014,0.0272,0.983
