persona_row_id,MR,Attribute,Value,n,unparsed,accuracy,precision,recall,f1,pass_rate
1,MR6,ReviewStyle,BigPicture,1000.0,0.0,0.503,0.5273,0.058,0.1045,0.972
2,MR6,ReviewStyle,Collaborative,1000.0,0.0,0.495,0.449,0.044,0.0801,0.974
3,MR6,ReviewStyle,Concise,1000.0,0.0,0.498,0.475,0.038,0.0704,0.981
4,MR6,ReviewStyle,Constructive,1000.0,0.0,0.495,0.459,0.056,0.0998,0.964
5,MR6,ReviewStyle,Detailed,1000.0,0.0,0.485,0.4096,0.068,0.1166,0.944
6,MR6,ReviewStyle,Educational,1000.0,0.0,0.49,0.4265,0.058,0.1021,0.959
7,MR6,ReviewStyle,Nitpicky,1000.0,0.0,0.472,0.4091,0.126,0.1927,0.873
8,MR6,ReviewStyle,PerformanceFocused,1000.0,0.0,0.499,0.4884,0.042,0.0773,0.98
9,MR6,ReviewStyle,SecurityFocused,1000.0,0.0,0.494,0.4062,0.026,0.0489,0.983
10,MR6,ReviewStyle,Strict,1000.0,0.0,0.489,0.4154,0.054,0.0956,0.962
11,MR6,ReviewStyle,Supportive,1000.0,0.0,0.494,0.4318,0.038,0.0699,0.981
12,MR6,ReviewStyle,Thorough,1000.0,0.0,0.5,0.5,0.064,0.1135,0.959
